"","pt(i,t)","pt(i,t)","pt(i,t)","pt(i,t)","pt(i,t)","","","","","x: w/o MN","x: w/o MN","x: w/o MN","x: w/o MN","x: w/o MN","x: w/ MN","x: w/ MN","x: w/ MN","x: w/ MN","x: w/ MN"
"","0","1","2","3","4",">=1: no MHRC","Util: w/o MN","Util: w/ MN","Util_gap: =1: not equal","0","1","2","3","4","0","1","2","3","4","MN_lic: >=1: no MN","MN_lic2: >=1: no MN"
"19",0.34203,0.12733,0.12836,0.26574,0.13655,1.00,0.5538271488,0.5537595358,1.00,6.25,0.28,0.14,0.16,0.05,6.25,0.28,0.15,0.15,0.05,1.00,0.00
"20",0.38048,0.04983,0.30647,0.02309,0.24014,1.00,0.6066140754,0.5933625624,1.00,6.25,0.07,0.32,0.00,0.09,6.25,0.24,0.24,0.06,0.06,2.00,0.00
"21",0.03198,0.00374,0.24961,0.32343,0.39124,1.00,0.2970934568,0.2947493014,1.00,6.25,0.06,0.63,0.26,0.15,6.25,0.59,0.59,0.26,0.15,1.00,0.00
"22",0.11364,0.19940,0.13894,0.07670,0.47133,1.00,0.3780284588,0.3751166113,1.00,6.25,0.95,0.23,0.06,0.17,6.25,0.95,0.23,0.14,0.14,1.00,0.00
"23",0.26641,0.08488,0.24334,0.23614,0.16923,1.00,0.4887465875,0.4883866647,1.00,6.25,0.24,0.32,0.15,0.06,6.25,0.29,0.29,0.15,0.06,1.00,0.00
"24",0.49634,0.09888,0.15571,0.03902,0.21005,1.00,0.6986318811,0.6947810485,1.00,6.25,0.13,0.13,0.01,0.08,6.25,0.13,0.13,0.05,0.05,2.00,0.00
"25",0.09127,0.34455,0.29088,0.17245,0.10085,0.00,0.4203776077,0.4203776077,0.00,6.25,1.22,0.31,0.09,0.03,6.25,1.22,0.31,0.09,0.03,0.00,0.00
"26",0.20700,0.17747,0.01564,0.27173,0.32817,1.00,0.4497930611,0.4408244055,1.00,6.25,0.62,0.01,0.21,0.13,6.25,0.62,0.14,0.14,0.13,1.00,0.00
"27",0.21000,0.21383,0.12763,0.20916,0.23937,1.00,0.4533633826,0.4533633826,0.00,6.25,0.70,0.16,0.14,0.09,6.25,0.70,0.16,0.14,0.09,0.00,0.00
"28",0.25702,0.08080,0.33328,0.26579,0.06311,1.00,0.4994581500,0.4982021105,1.00,6.25,0.23,0.39,0.15,0.02,6.25,0.35,0.35,0.15,0.02,1.00,0.00
"29",0.27411,0.06337,0.18770,0.21579,0.25903,1.00,0.4871771748,0.4862989999,1.00,6.25,0.16,0.27,0.15,0.10,6.25,0.23,0.23,0.15,0.10,1.00,0.00
"30",0.12669,0.18706,0.12417,0.15509,0.40699,1.00,0.3809838219,0.3809185211,1.00,6.25,0.87,0.20,0.13,0.15,6.25,0.87,0.20,0.15,0.15,1.00,0.00
"31",0.46170,0.05367,0.09445,0.27275,0.11743,1.00,0.6638158697,0.6610084569,1.00,6.25,0.06,0.09,0.16,0.04,6.25,0.12,0.12,0.12,0.04,2.00,0.00
"32",0.25700,0.28308,0.05744,0.14447,0.25802,1.00,0.5118737489,0.5103920825,1.00,6.25,0.74,0.04,0.09,0.10,6.25,0.74,0.09,0.09,0.09,2.00,0.00
"33",0.31931,0.23132,0.36845,0.01015,0.07077,1.00,0.5921650327,0.5908013443,1.00,6.25,0.55,0.31,0.00,0.02,6.25,0.55,0.31,0.01,0.01,1.00,0.00
"34",0.05439,0.33741,0.07921,0.45829,0.07070,1.00,0.3944133226,0.3911154352,1.00,6.25,1.34,0.10,0.25,0.02,6.25,1.34,0.21,0.21,0.02,1.00,0.00
"35",0.21048,0.34290,0.21207,0.22996,0.00458,0.00,0.5135942927,0.5135942927,0.00,6.25,0.91,0.20,0.12,0.00,6.25,0.91,0.20,0.12,0.00,0.00,0.00
"36",0.23466,0.19464,0.42082,0.07932,0.07056,1.00,0.5116599797,0.5116599797,0.00,6.25,0.61,0.39,0.03,0.02,6.25,0.61,0.39,0.03,0.02,0.00,0.00
"37",0.02207,0.15933,0.05494,0.01491,0.74874,1.00,0.3079708848,0.3013529560,1.00,6.25,1.37,0.16,0.02,0.22,6.25,1.37,0.19,0.19,0.19,1.00,0.00
"38",0.28501,0.01280,0.09289,0.45036,0.15895,1.00,0.5105883972,0.5010798592,1.00,6.25,0.01,0.16,0.26,0.06,6.25,0.20,0.20,0.20,0.06,2.00,0.00
"39",0.28173,0.12288,0.30371,0.07360,0.21808,1.00,0.5140765436,0.5125619385,1.00,6.25,0.34,0.33,0.03,0.08,6.25,0.34,0.33,0.06,0.06,1.00,0.00
"40",0.14631,0.29961,0.20124,0.14534,0.20750,1.00,0.4325293597,0.4325293597,0.00,6.25,1.01,0.23,0.09,0.08,6.25,1.01,0.23,0.09,0.08,0.00,0.00
"41",0.33188,0.12409,0.00295,0.33760,0.20349,1.00,0.5553249103,0.5403067858,1.00,6.25,0.29,0.00,0.22,0.08,6.25,0.29,0.14,0.14,0.08,1.00,0.00
"42",0.10463,0.30851,0.24036,0.03453,0.31197,1.00,0.4153216807,0.4086935875,1.00,6.25,1.14,0.28,0.01,0.12,6.25,1.14,0.28,0.08,0.08,1.00,0.00
"43",0.21926,0.06288,0.24308,0.13009,0.34470,1.00,0.4440940137,0.4426274524,1.00,6.25,0.21,0.36,0.10,0.13,6.25,0.32,0.32,0.12,0.12,2.00,0.00
"44",0.35398,0.00639,0.14498,0.26129,0.23337,1.00,0.5658939333,0.5561512393,1.00,6.25,0.00,0.21,0.18,0.09,6.25,0.14,0.14,0.14,0.09,1.00,0.00
"45",0.01322,0.32179,0.35630,0.19417,0.11452,0.00,0.3699714054,0.3699714054,0.00,6.25,1.50,0.40,0.11,0.04,6.25,1.50,0.40,0.11,0.04,0.00,0.00
"46",0.19138,0.01731,0.29815,0.20538,0.28777,1.00,0.4294245922,0.4206305839,1.00,6.25,0.04,0.46,0.15,0.11,6.25,0.35,0.35,0.15,0.11,1.00,0.00
"47",0.22899,0.20086,0.03655,0.30885,0.22476,1.00,0.4726053143,0.4659808830,1.00,6.25,0.63,0.03,0.21,0.09,6.25,0.63,0.15,0.15,0.09,1.00,0.00
"48",0.25520,0.22118,0.16080,0.18147,0.18135,0.00,0.4943990768,0.4943990768,0.00,6.25,0.63,0.18,0.11,0.07,6.25,0.63,0.18,0.11,0.07,0.00,0.00
"49",0.39675,0.30619,0.02725,0.24344,0.02637,1.00,0.6575091569,0.6496554596,1.00,6.25,0.58,0.01,0.13,0.00,6.25,0.58,0.07,0.07,0.00,1.00,0.00
"50",0.23885,0.06660,0.07728,0.27819,0.33908,1.00,0.4530381522,0.4521589725,1.00,6.25,0.20,0.13,0.22,0.13,6.25,0.20,0.19,0.19,0.13,1.00,0.00
"51",0.29354,0.28090,0.00023,0.10318,0.32215,1.00,0.5523907599,0.5410212458,1.00,6.25,0.67,0.00,0.07,0.12,6.25,0.67,0.08,0.08,0.08,2.00,0.00
"52",0.34322,0.36034,0.08907,0.19130,0.01607,1.00,0.6214645117,0.6207439576,1.00,6.25,0.72,0.05,0.09,0.00,6.25,0.72,0.08,0.08,0.00,1.00,0.00
"53",0.15959,0.21734,0.15580,0.06659,0.40068,1.00,0.4188238412,0.4150127652,1.00,6.25,0.84,0.21,0.04,0.15,6.25,0.84,0.21,0.12,0.12,1.00,0.00
"54",0.18921,0.06436,0.21134,0.12847,0.40661,1.00,0.4154679486,0.4146010272,1.00,6.25,0.26,0.35,0.11,0.15,6.25,0.33,0.33,0.14,0.14,2.00,0.00
"55",0.03334,0.21464,0.17686,0.24244,0.33272,0.00,0.3284307246,0.3284307246,0.00,6.25,1.35,0.32,0.19,0.13,6.25,1.35,0.32,0.19,0.13,0.00,0.00
"56",0.29185,0.15310,0.04572,0.41077,0.09856,1.00,0.5258467580,0.5184209962,1.00,6.25,0.41,0.04,0.23,0.03,6.25,0.41,0.18,0.18,0.03,1.00,0.00
"57",0.40843,0.20080,0.03997,0.16633,0.18446,1.00,0.6262834734,0.6232370606,1.00,6.25,0.38,0.02,0.10,0.07,6.25,0.38,0.07,0.07,0.07,1.00,0.00
"58",0.19302,0.05333,0.35870,0.38366,0.01130,1.00,0.4608962336,0.4582384312,1.00,6.25,0.20,0.46,0.20,0.00,6.25,0.40,0.40,0.20,0.00,1.00,0.00
"59",0.20379,0.11806,0.38209,0.00745,0.28861,1.00,0.4670647633,0.4565781878,1.00,6.25,0.45,0.42,0.00,0.11,6.25,0.45,0.42,0.07,0.07,1.00,0.00
"60",0.23682,0.22418,0.22384,0.21778,0.09738,0.00,0.4896448776,0.4896448776,0.00,6.25,0.67,0.24,0.12,0.03,6.25,0.67,0.24,0.12,0.03,0.00,0.00
"61",0.19411,0.32001,0.23180,0.03166,0.22242,1.00,0.4857872412,0.4808412633,1.00,6.25,0.92,0.23,0.01,0.09,6.25,0.92,0.23,0.05,0.05,1.00,0.00
"62",0.28472,0.32821,0.07621,0.15925,0.15161,1.00,0.5493913404,0.5488302104,1.00,6.25,0.76,0.05,0.09,0.06,6.25,0.76,0.07,0.07,0.06,1.00,0.00
"63",0.23212,0.16241,0.07489,0.30496,0.22563,1.00,0.4629332900,0.4609228621,1.00,6.25,0.53,0.09,0.20,0.09,6.25,0.53,0.17,0.17,0.09,1.00,0.00
"64",0.20294,0.25351,0.24080,0.00699,0.29576,1.00,0.4784835807,0.4677076868,1.00,6.25,0.80,0.26,0.00,0.11,6.25,0.80,0.26,0.07,0.07,1.00,0.00
"65",0.30446,0.06668,0.26186,0.28366,0.08334,1.00,0.5307772840,0.5285984458,1.00,6.25,0.14,0.32,0.16,0.02,6.25,0.27,0.27,0.16,0.02,1.00,0.00
"66",0.15872,0.27241,0.31935,0.18075,0.06877,0.00,0.4543672334,0.4543672334,0.00,6.25,0.94,0.33,0.09,0.02,6.25,0.94,0.33,0.09,0.02,0.00,0.00
"67",0.00429,0.00349,0.32629,0.33474,0.33119,1.00,0.2842920957,0.2842858502,1.00,6.25,0.60,0.68,0.25,0.13,6.25,0.68,0.68,0.25,0.13,1.00,0.00
"68",0.47979,0.07935,0.02787,0.30988,0.10312,1.00,0.6887024040,0.6791234319,1.00,6.25,0.10,0.01,0.18,0.03,6.25,0.11,0.11,0.11,0.03,1.00,0.00
"69",0.37839,0.30795,0.11655,0.03327,0.16385,1.00,0.6303465203,0.6273388354,1.00,6.25,0.60,0.08,0.01,0.06,6.25,0.60,0.08,0.04,0.04,1.00,0.00
"70",0.18300,0.06141,0.30666,0.23316,0.21578,1.00,0.4221545523,0.4209694145,1.00,6.25,0.25,0.43,0.15,0.08,6.25,0.39,0.39,0.15,0.08,1.00,0.00
"71",0.36206,0.08464,0.08875,0.21471,0.24984,1.00,0.5635933628,0.5630798828,1.00,6.25,0.16,0.10,0.15,0.10,6.25,0.16,0.13,0.13,0.10,1.00,0.00
"72",0.19048,0.08655,0.54052,0.14604,0.03641,1.00,0.4766757567,0.4758460012,1.00,6.25,0.35,0.51,0.07,0.01,6.25,0.48,0.48,0.07,0.01,1.00,0.00
"73",0.17111,0.02218,0.45306,0.12743,0.22622,1.00,0.4331565035,0.4246511902,1.00,6.25,0.07,0.53,0.08,0.09,6.25,0.45,0.45,0.08,0.08,2.00,0.00
"74",0.13830,0.20336,0.32726,0.27111,0.05996,0.00,0.4249059234,0.4249059234,0.00,6.25,0.87,0.38,0.15,0.01,6.25,0.87,0.38,0.15,0.01,0.00,0.00
"75",0.11908,0.23310,0.42248,0.19846,0.02688,0.00,0.4348597117,0.4348597117,0.00,6.25,0.99,0.43,0.10,0.00,6.25,0.99,0.43,0.10,0.00,0.00,0.00
"76",0.26100,0.25653,0.12629,0.28896,0.06722,1.00,0.5172055067,0.5169158886,1.00,6.25,0.69,0.12,0.16,0.02,6.25,0.69,0.15,0.15,0.02,1.00,0.00
"77",0.22865,0.22547,0.27847,0.17259,0.09482,0.00,0.4887976198,0.4887976198,0.00,6.25,0.69,0.29,0.09,0.03,6.25,0.69,0.29,0.09,0.03,0.00,0.00
"78",0.25460,0.18977,0.03365,0.36947,0.15251,1.00,0.4971314622,0.4885079085,1.00,6.25,0.56,0.02,0.22,0.06,6.25,0.56,0.16,0.16,0.06,1.00,0.00
"79",0.03641,0.24598,0.00948,0.31901,0.38911,1.00,0.3441844120,0.3344844066,1.00,6.25,1.35,0.01,0.26,0.14,6.25,1.35,0.19,0.19,0.14,1.00,0.00
"80",0.17796,0.15004,0.22770,0.16279,0.28150,1.00,0.4194583383,0.4194583383,0.00,6.25,0.62,0.32,0.11,0.11,6.25,0.62,0.32,0.11,0.11,0.00,0.00
"81",0.33421,0.06070,0.11458,0.29567,0.19485,1.00,0.5413309771,0.5404780192,1.00,6.25,0.11,0.15,0.19,0.07,6.25,0.17,0.17,0.17,0.07,2.00,0.00
"82",0.26766,0.26554,0.24928,0.09080,0.12672,1.00,0.5278744499,0.5278554105,1.00,6.25,0.69,0.24,0.04,0.04,6.25,0.69,0.24,0.04,0.04,1.00,0.00
"83",0.19543,0.28801,0.05595,0.20769,0.25292,1.00,0.4637992980,0.4614187957,1.00,6.25,0.87,0.05,0.14,0.10,6.25,0.87,0.11,0.11,0.10,1.00,0.00
"84",0.26856,0.01305,0.38247,0.13155,0.20437,1.00,0.5112762464,0.4960402342,1.00,6.25,0.01,0.45,0.08,0.08,6.25,0.33,0.33,0.08,0.08,2.00,0.00
"85",0.12830,0.22460,0.21916,0.20734,0.22060,0.00,0.3996463742,0.3996463742,0.00,6.25,0.95,0.29,0.14,0.09,6.25,0.95,0.29,0.14,0.09,0.00,0.00
"86",0.24595,0.08091,0.19203,0.24225,0.23885,1.00,0.4643318344,0.4642605144,1.00,6.25,0.25,0.28,0.17,0.09,6.25,0.27,0.27,0.17,0.09,1.00,0.00
"87",0.15045,0.19105,0.12628,0.10228,0.42994,1.00,0.4012757746,0.3998521169,1.00,6.25,0.80,0.19,0.09,0.16,6.25,0.80,0.19,0.14,0.14,1.00,0.00
"88",0.10089,0.28325,0.23058,0.10867,0.27661,1.00,0.3976242628,0.3969495003,1.00,6.25,1.13,0.29,0.07,0.11,6.25,1.13,0.29,0.09,0.09,1.00,0.00
"89",0.00463,0.51690,0.00903,0.25549,0.21395,1.00,0.4109845609,0.3998702620,1.00,6.25,1.55,0.00,0.17,0.08,6.25,1.55,0.10,0.10,0.08,1.00,0.00
"90",0.25961,0.15317,0.20249,0.12708,0.25766,1.00,0.4853928565,0.4852210652,1.00,6.25,0.46,0.25,0.08,0.10,6.25,0.46,0.25,0.09,0.09,1.00,0.00
"91",0.37446,0.18825,0.08569,0.20490,0.14670,1.00,0.5909601059,0.5901523322,1.00,6.25,0.39,0.07,0.12,0.05,6.25,0.39,0.10,0.10,0.05,1.00,0.00
"92",0.44447,0.03232,0.23942,0.18646,0.09734,1.00,0.6563559904,0.6479961408,1.00,6.25,0.03,0.25,0.10,0.03,6.25,0.16,0.16,0.10,0.03,1.00,0.00
"93",0.23380,0.26009,0.15267,0.11165,0.24179,1.00,0.4864069448,0.4860276882,1.00,6.25,0.74,0.16,0.07,0.09,6.25,0.74,0.16,0.08,0.08,1.00,0.00
"94",0.23423,0.02493,0.16160,0.41674,0.16250,1.00,0.4633903040,0.4587984050,1.00,6.25,0.05,0.29,0.25,0.06,6.25,0.23,0.23,0.23,0.06,1.00,0.00
"95",0.08410,0.25412,0.21362,0.11059,0.33757,1.00,0.3756441006,0.3747276271,1.00,6.25,1.15,0.30,0.08,0.13,6.25,1.15,0.30,0.11,0.11,1.00,0.00
"96",0.00190,0.26990,0.00119,0.27922,0.44779,1.00,0.3303918716,0.3192914129,1.00,6.25,1.55,0.00,0.25,0.16,6.25,1.55,0.18,0.18,0.16,1.00,0.00
"97",0.03998,0.42168,0.16085,0.13579,0.24170,1.00,0.3927499329,0.3927125034,1.00,6.25,1.42,0.18,0.08,0.09,6.25,1.42,0.18,0.09,0.09,1.00,0.00
"98",0.18865,0.28308,0.03819,0.46518,0.02491,1.00,0.4864262987,0.4763298278,1.00,6.25,0.88,0.03,0.24,0.00,6.25,0.88,0.18,0.18,0.00,1.00,0.00
"99",0.26654,0.25764,0.21429,0.12729,0.13424,0.00,0.5193785134,0.5193785134,0.00,6.25,0.68,0.21,0.07,0.05,6.25,0.68,0.21,0.07,0.05,0.00,0.00
"100",0.27202,0.30647,0.17986,0.09866,0.14298,1.00,0.5356746866,0.5356505017,1.00,6.25,0.75,0.16,0.05,0.05,6.25,0.75,0.16,0.05,0.05,1.00,0.00
"101",0.16865,0.19085,0.03878,0.37026,0.23146,1.00,0.4234510380,0.4171165380,1.00,6.25,0.75,0.04,0.24,0.09,6.25,0.75,0.19,0.19,0.09,1.00,0.00
"102",0.22310,0.25043,0.12592,0.28082,0.11973,1.00,0.4797760183,0.4796138800,1.00,6.25,0.75,0.14,0.17,0.04,6.25,0.75,0.16,0.16,0.04,1.00,0.00
"103",0.17346,0.27151,0.26417,0.22312,0.06774,0.00,0.4592906207,0.4592906207,0.00,6.25,0.90,0.28,0.12,0.02,6.25,0.90,0.28,0.12,0.02,0.00,0.00
"104",0.26203,0.25407,0.31554,0.10676,0.06160,0.00,0.5325145260,0.5325145260,0.00,6.25,0.68,0.29,0.04,0.02,6.25,0.68,0.29,0.04,0.02,0.00,0.00
"105",0.33182,0.16486,0.04256,0.33645,0.12430,1.00,0.5577238293,0.5505895109,1.00,6.25,0.39,0.03,0.20,0.04,6.25,0.39,0.14,0.14,0.04,1.00,0.00
"106",0.41842,0.19513,0.22285,0.07998,0.08362,0.00,0.6437616256,0.6437616256,0.00,6.25,0.36,0.19,0.03,0.02,6.25,0.36,0.19,0.03,0.02,0.00,0.00
"107",0.18463,0.22877,0.16787,0.27815,0.14059,1.00,0.4439746304,0.4439746304,0.00,6.25,0.79,0.21,0.17,0.05,6.25,0.79,0.21,0.17,0.05,0.00,0.00
"108",0.12513,0.27784,0.27573,0.01053,0.31077,1.00,0.4294161715,0.4189412305,1.00,6.25,1.04,0.31,0.00,0.12,6.25,1.04,0.31,0.07,0.07,1.00,0.00
"109",0.00183,0.36577,0.00394,0.24004,0.38842,1.00,0.3583093861,0.3475425464,1.00,6.25,1.55,0.00,0.20,0.14,6.25,1.55,0.14,0.14,0.14,1.00,0.00
"110",0.53263,0.22794,0.06096,0.03978,0.13869,1.00,0.7538920639,0.7520849850,1.00,6.25,0.33,0.03,0.01,0.05,6.25,0.33,0.03,0.03,0.03,1.00,0.00
"111",0.21676,0.08090,0.27382,0.41135,0.01718,1.00,0.4720541004,0.4717148617,1.00,6.25,0.29,0.37,0.22,0.00,6.25,0.35,0.35,0.22,0.00,1.00,0.00
"112",0.15249,0.14499,0.20877,0.11130,0.38244,1.00,0.3975276330,0.3965170093,1.00,6.25,0.67,0.32,0.09,0.14,6.25,0.67,0.32,0.13,0.13,1.00,0.00
"113",0.22733,0.16983,0.26404,0.20286,0.13594,0.00,0.4709186543,0.4709186543,0.00,6.25,0.56,0.31,0.12,0.05,6.25,0.56,0.31,0.12,0.05,0.00,0.00
"114",0.23156,0.25097,0.17612,0.17344,0.16790,0.00,0.4840331266,0.4840331266,0.00,6.25,0.73,0.19,0.10,0.06,6.25,0.73,0.19,0.10,0.06,0.00,0.00
"115",0.17330,0.28052,0.15908,0.26846,0.11864,1.00,0.4498896322,0.4498896322,0.00,6.25,0.91,0.18,0.16,0.04,6.25,0.91,0.18,0.16,0.04,0.00,0.00
"116",0.47513,0.00046,0.26822,0.24696,0.00923,1.00,0.7082792913,0.6894198310,1.00,6.25,0.00,0.27,0.13,0.00,6.25,0.15,0.15,0.13,0.00,1.00,0.00
"117",0.02993,0.21862,0.20269,0.22563,0.32314,0.00,0.3291835573,0.3291835573,0.00,6.25,1.37,0.35,0.17,0.12,6.25,1.37,0.35,0.17,0.12,0.00,0.00
"118",0.08089,0.18237,0.07094,0.37758,0.28823,1.00,0.3524633327,0.3509960145,1.00,6.25,1.05,0.14,0.26,0.11,6.25,1.05,0.23,0.23,0.11,1.00,0.00
"119",0.33591,0.03609,0.38771,0.23999,0.00030,1.00,0.5881241157,0.5772692568,1.00,6.25,0.05,0.40,0.12,0.00,6.25,0.30,0.30,0.12,0.00,1.00,0.00
"120",0.31924,0.09107,0.16314,0.38212,0.04443,1.00,0.5456350234,0.5456348467,1.00,6.25,0.21,0.21,0.21,0.01,6.25,0.21,0.21,0.21,0.01,1.00,0.00
"121",0.15686,0.23390,0.17193,0.11292,0.32439,1.00,0.4192734660,0.4184888361,1.00,6.25,0.88,0.22,0.08,0.12,6.25,0.88,0.22,0.11,0.11,1.00,0.00
"122",0.08792,0.41619,0.21766,0.21901,0.05922,0.00,0.4374143043,0.4374143043,0.00,6.25,1.28,0.22,0.12,0.01,6.25,1.28,0.22,0.12,0.01,0.00,0.00
"123",0.04331,0.09801,0.14193,0.36428,0.35248,1.00,0.3084595174,0.3084595174,0.00,6.25,1.05,0.39,0.27,0.13,6.25,1.05,0.39,0.27,0.13,0.00,0.00
"124",0.25285,0.14764,0.28076,0.28553,0.03322,1.00,0.5021690171,0.5021690171,0.00,6.25,0.45,0.32,0.15,0.01,6.25,0.45,0.32,0.15,0.01,0.00,0.00
"125",0.13031,0.31963,0.12656,0.07920,0.34430,1.00,0.4240729994,0.4215119210,1.00,6.25,1.08,0.15,0.05,0.13,6.25,1.08,0.15,0.10,0.10,1.00,0.00
"126",0.17103,0.41534,0.07024,0.21620,0.12719,1.00,0.4885999575,0.4866943980,1.00,6.25,1.07,0.05,0.13,0.04,6.25,1.07,0.10,0.10,0.04,1.00,0.00
"127",0.15023,0.05847,0.20239,0.46157,0.12735,1.00,0.3979422679,0.3977274889,1.00,6.25,0.30,0.38,0.26,0.04,6.25,0.36,0.36,0.26,0.04,1.00,0.00
"128",0.14537,0.20657,0.54531,0.06551,0.03724,1.00,0.4703331545,0.4703331545,0.00,6.25,0.85,0.47,0.02,0.01,6.25,0.85,0.47,0.02,0.01,0.00,0.00
"129",0.08225,0.03883,0.44258,0.21352,0.22281,1.00,0.3566088537,0.3559023908,1.00,6.25,0.37,0.58,0.14,0.09,6.25,0.56,0.56,0.14,0.09,1.00,0.00
"130",0.39668,0.09933,0.14770,0.25721,0.09909,1.00,0.6038288774,0.6038288774,0.00,6.25,0.17,0.15,0.15,0.03,6.25,0.17,0.15,0.15,0.03,0.00,0.00
"131",0.06160,0.24742,0.29199,0.08834,0.31065,1.00,0.3684616821,0.3666943597,1.00,6.25,1.24,0.38,0.05,0.12,6.25,1.24,0.38,0.10,0.10,1.00,0.00
"132",0.27741,0.01738,0.15900,0.23944,0.30677,1.00,0.4925032313,0.4861881836,1.00,6.25,0.02,0.27,0.18,0.12,6.25,0.17,0.17,0.17,0.12,1.00,0.00
"133",0.20645,0.24987,0.08584,0.21604,0.24180,1.00,0.4601175279,0.4594582057,1.00,6.25,0.78,0.09,0.15,0.09,6.25,0.78,0.13,0.13,0.09,1.00,0.00
"134",0.22143,0.30972,0.17878,0.16972,0.12035,0.00,0.4949633199,0.4949633199,0.00,6.25,0.85,0.18,0.09,0.04,6.25,0.85,0.18,0.09,0.04,0.00,0.00
"135",0.12555,0.22144,0.46431,0.16488,0.02383,0.00,0.4433953493,0.4433953493,0.00,6.25,0.95,0.45,0.08,0.00,6.25,0.95,0.45,0.08,0.00,0.00,0.00
"136",0.26878,0.24416,0.30662,0.11053,0.06991,0.00,0.5333008363,0.5333008363,0.00,6.25,0.65,0.29,0.05,0.02,6.25,0.65,0.29,0.05,0.02,0.00,0.00
"137",0.02029,0.38001,0.03994,0.36016,0.19960,1.00,0.3744255929,0.3677254217,1.00,6.25,1.48,0.04,0.23,0.08,6.25,1.48,0.17,0.17,0.08,1.00,0.00
"138",0.00009,0.08808,0.39660,0.15770,0.35753,1.00,0.3026022199,0.3025705078,1.00,6.25,1.56,0.60,0.12,0.14,6.25,1.56,0.60,0.13,0.13,1.00,0.00
